FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
617.0,57227,CALLE PABLO PICASSO,1.0,3000.0,E0653,376212.106739,3148852.05102,-16.2643562666,28.4603652147
618.0,43765,CALLE HERMANO PEDRO,1.0,3000.0,E0652,373987.943689,3147778.85849,-16.2869516582,28.4504672764
619.0,43912,CALLE MIGUEL BOSQ,1.0,3000.0,E0651,374302.004737,3148356.70965,-16.2838078371,28.4557123459
620.0,44401,CALLE DIEGO DE ALMAGRO,1.0,3000.0,E0656,374764.761916,3147973.59221,-16.2790408499,28.4522994367
621.0,44447,CALLE RODRIGO DE TRIANA,1.0,3000.0,E0659,374760.952486,3148066.58851,-16.2790898496,28.4531383107
622.0,44416,CALLE JUAN DE GARAY,1.0,3000.0,E0657,374629.127057,3147946.5969,-16.2804228841,28.4520427918
623.0,56472,CALLE SUBIDA AL MAYORAZGO,1.0,3000.0,E0658,374035.495176,3147064.37351,-16.2863880816,28.4440240538
624.0,32303,CALLE LORENZO GARCIA DEL CASTILLO,1.0,3000.0,E0600,375223.68055,3149525.47059,-16.2745228222,28.4663482576
625.0,21827,CALLE MENCEY BENCOMO,1.0,3000.0,E0663,375527.574319,3150193.61305,-16.2714915323,28.4724069205
626.0,10585,CALLE VOLCAN DE LAS ARENAS,1.0,3200.0,E0662,371595.830648,3147169.82839,-16.3113091182,28.4447379559
627.0,31041,CALLE ZURBARAN,1.0,3000.0,E0661,376035.609771,3149518.9898,-16.2662303736,28.4663672208
628.0,32477,CALLE DESIRE DUGOUR,1.0,3000.0,E0660,375731.582949,3149415.95933,-16.269324109,28.4654084851
629.0,43065,CTRA DE HOYA FRIA,1.0,3000.0,E0664,374243.161897,3146482.5735,-16.2842043414,28.4387936633
630.0,31203,CALLE RAMIRO DE MAEZTU,1.0,3200.0,E0667,376053.024664,3148534.39742,-16.2659466291,28.4574834468
631.0,43227,AVDA PRINCIPES DE ESPAÑA,1.0,3200.0,E0666,374719.598292,3148301.61794,-16.2795376613,28.4552553484
632.0,10573,AVDA PICO TEIDE,1.0,3200.0,E0665,371819.811465,3147407.39022,-16.3090486379,28.4469038144
633.0,10613,AVDA BRAVO MURILLO,1.0,3200.0,E0668,377653.821152,3149065.22173,-16.2496562724,28.4624250293
634.0,10321,CALLE JESUS HERNANDEZ GUZMAN,1.0,3000.0,E0669,374331.261016,3146424.06795,-16.2832985033,28.4382741677
635.0,41824,PLAZA AFUR,1.0,3000.0,E0672,377917.451274,3159367.82643,-16.2480580888,28.5554253554
636.0,10683,CALLE LA CONCORDIA,1.0,3000.0,E0671,377459.173947,3149326.75919,-16.2516718422,28.4647670036
637.0,20967,CALLE GILBERTO CAYOL LOPOEZ,1.0,3200.0,E0670,376339.039822,3149048.35157,-16.2630811078,28.4621487684
638.0,10245,CALLE MERCEDES MACHADO,1.0,3000.0,E0673,376887.017471,3150860.80926,-16.2576788454,28.4785571293
639.0,54167,CALLE SIMBAD,1.0,3000.0,E0674,374214.268244,3148524.67682,-16.2847220712,28.4572196941
640.0,32686,CALLE GANIVET,1.0,3200.0,E0675,375916.367098,3148964.47849,-16.2673884184,28.4613517086
641.0,10294,"CALLE LA RABASA, TRANSVERSAL",1.0,3000.0,E0676,375364.859856,3147854.23079,-16.2729003275,28.4512797327
642.0,42947,CALLE JOSE MIGUEL GALVAN BELLO,1.0,3000.0,E0677,375076.483043,3147337.86132,-16.2757889876,28.4465921971
643.0,83082,CTRA SANTA CRUZ LAGUNA,1.0,3000.0,E0678,374580.919618,3148897.83,-16.2810186232,28.4606224948
644.0,42352,CALLE ELISA GONZALEZ DE CHAVEZ,1.0,3000.0,E0687,375787.378552,3148547.10947,-16.2686606606,28.4575728953
645.0,20712,AVDA SAN SEBASTIAN,1.0,3000.0,E0686,376750.946345,3149188.14852,-16.2588896543,28.4634493611
646.0,40202,CALLE SAN JUAN EVANGELISTA,3.0,120.0,E0685,379962.532836,3152378.33329,-16.2264247068,28.4925390702
647.0,56584,CALLE DOCTOR RAFAEL FOLCH YOU,6.0,120.0,E0684,383044.440168,3154040.15807,-16.1951114934,28.5078168858
648.0,52435,CALLE CASTAÑO,3.0,120.0,E0683,369528.743725,3144604.21567,-16.3321242671,28.4213801355
649.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,2.0,120.0,E0682,372811.488394,3144611.3873,-16.2986150671,28.4217686139
650.0,82287,CALLE LAS TOSCAS,1.0,120.0,E0681,382858.203394,3161126.45932,-16.1977374005,28.5717512086
651.0,10534,CTRA CHAMORGA,2.0,120.0,E0680,386592.487735,3160836.73418,-16.1595333991,28.5694681387
652.0,42247,PLAZA DE ROQUE NEGRO,2.0,120.0,E0679,378038.327919,3158024.82549,-16.2466798327,28.5433168974
653.0,95261,PLAYA LAS TERESITAS,1.0,3000.0,E0689,383752.090585,3154086.74352,-16.1878863514,28.5083006996
654.0,95261,PLAYA LAS TERESITAS,1.0,3000.0,E0688,383987.570224,3154255.28344,-16.1854975195,28.50984273
655.0,95261,PLAYA LAS TERESITAS,1.0,3000.0,E0690,384400.321053,3154368.26075,-16.1812918365,28.5108990432
656.0,44842,CALLE PEDRO SUAREZ HERNANDEZ,1.0,3000.0,E0691,374835.596166,3148954.18703,-16.2784240336,28.4611555524
657.0,31002,CALLE JUAN DE MIRANDA,1.0,3000.0,E0692,376110.77427,3149502.36713,-16.2654609745,28.4662243542
658.0,20116,AVDA TRES DE MAYO,3.0,120.0,E0693,376560.038319,3148635.57604,-16.2607800535,28.4584446155
659.0,51923,CALLE CONVENTO,1.0,3000.0,E0694,369257.878789,3146760.08639,-16.3351334043,28.4408082095
660.0,51923,CALLE CONVENTO,1.0,120.0,E0695,369266.87464,3146724.89674,-16.3350375719,28.4404915502
661.0,32713,CTRA DEL ROSARIO,1.0,120.0,E0696,374868.801517,3148257.83701,-16.2780093497,28.4548745712
662.0,10522,CTRA EL BAILADERO,1.0,3000.0,E0697,382269.401932,3158743.54986,-16.2035119465,28.5501932421
663.0,43823,"CALLE JUAN ALBORNOZ ""SOMBRITA""",1.0,3000.0,E0698,373697.399121,3147617.29716,-16.289900656,28.4489811871
664.0,20581,AVDA LA SALLE,1.0,120.0,E0701,376993.899809,3149171.78005,-16.2564068236,28.4633245843
665.0,57587,CTRA ALMACIGA,1.0,3000.0,E0700,383385.416914,3161133.7219,-16.1923485114,28.5718642183
666.0,57587,CTRA ALMACIGA,1.0,3000.0,E0699,382295.108149,3161034.96852,-16.203484431,28.570874611
667.0,10289,CALLE NISAMAR,1.0,3000.0,E0702,373226.242662,3144993.05716,-16.2944231512,28.4252532837
668.0,47353,CTRA LAS GAVIOTAS,2.0,3000.0,E0703,385043.058054,3154690.82132,-16.174757222,28.5138669943
669.0,56472,CALLE SUBIDA AL MAYORAZGO,1.0,3000.0,E0704,374468.160656,3147240.74231,-16.2819896732,28.4456573736
670.0,11141,CALLE ROBAYNA,1.0,3000.0,E0705,376854.399961,3149975.30214,-16.2579173038,28.4705628004
671.0,10606,CALLE VOLCAN CHAORRA,1.0,3200.0,E0706,371642.947077,3147383.46816,-16.3108518271,28.4466705484
672.0,10095,CALLE MENDEZ NUÑEZ,1.0,3200.0,E0707,377215.05128,3149899.13633,-16.2542259015,28.4699094611
673.0,10965,CALLE VALENTIN SANZ,1.0,3000.0,E0708,377504.662144,3149498.87939,-16.2512256006,28.4663245803
674.0,10217,CALLE EL TRAILER,1.0,3200.0,E0709,370564.70586,3146118.34947,-16.3217190778,28.4351472265
675.0,30126,CALLE JUAN PABLO II,1.0,3200.0,E0710,376797.059091,3149720.55144,-16.2584756726,28.4682583869
676.0,52412,CALLE CAPITANA,1.0,3000.0,E0711,371250.306451,3145266.83244,-16.3146246505,28.4275306383
677.0,32485,CALLE DOCTOR SALVADOR PEREZ LUZ,1.0,3000.0,E0712,375738.202393,3149579.13316,-16.2692741074,28.4668816713
