FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
148.0,30896,CALLE FEBLES CAMPOS,1.0,3000.0,P0155,375995.344697,3149910.85034,-16.2666837563,28.4698997234
149.0,30834,CALLE DEL OLVIDO,1.0,3000.0,P0156,376132.752874,3149845.67631,-16.2652734313,28.4693246258
150.0,30486,CALLE DOCTOR ALFONSO SORIANO FRADE,1.0,3000.0,P0157,376734.466678,3150008.92914,-16.2591457634,28.4708549318
151.0,43065,CTRA DE HOYA FRIA,1.0,3000.0,P0158,374860.679811,3147346.29528,-16.2779933567,28.4466476315
152.0,56472,CALLE SUBIDA AL MAYORAZGO,1.0,3000.0,P0159,374031.920126,3147064.9744,-16.2864246492,28.4440291314
153.0,57324,CALLE PINTOR MARTIN GONZALEZ,2.0,3000.0,P0160,376148.693474,3149005.83686,-16.2650203601,28.4617470313
154.0,30455,CALLE COMANDANTE SANCHEZ PINTO,1.0,3000.0,P0161,376530.036086,3149949.67668,-16.2612272365,28.4703008623
155.0,30455,CALLE COMANDANTE SANCHEZ PINTO,1.0,3000.0,P0162,376598.092895,3149907.74914,-16.260527693,28.4699289321
156.0,31064,CALLE COMODORO ROLIN,1.0,3000.0,P0163,376007.026413,3149310.50493,-16.2664998433,28.4644830376
157.0,30304,AVDA ISLAS CANARIAS,1.0,3000.0,P0164,375972.940209,3149471.4677,-16.2668652659,28.4659323992
158.0,31056,CALLE BLAS CABRERA,1.0,3000.0,P0165,375852.939734,3149313.76349,-16.2680737637,28.4644977829
159.0,54747,PASEO DE LAS ESCUELAS PIAS,1.0,3000.0,P0166,376718.58804,3150223.24,-16.2593308677,28.4727874754
160.0,30416,CALLE DEL PERDON,1.0,3000.0,P0167,376277.746155,3150053.54184,-16.2638149822,28.4712142708
161.0,30751,CALLE POETA HERNANDEZ AMADOR,1.0,3000.0,P0168,376193.316771,3150038.17847,-16.2646755993,28.4710676086
162.0,30745,CALLE CAMPOAMOR,1.0,3000.0,P0169,376093.218364,3150248.24047,-16.2657204892,28.4729537947
163.0,30745,CALLE CAMPOAMOR,1.0,3000.0,P0170,376096.891652,3150284.98552,-16.2656869266,28.4732857481
164.0,30745,CALLE CAMPOAMOR,1.0,3000.0,P0171,375996.502043,3150281.22381,-16.2667118093,28.4732422541
165.0,30753,"CALLE JUAN PEREZ DELGADO ""NIJOTA""",1.0,3000.0,P0172,375992.799276,3150191.43263,-16.2667399585,28.4724315851
166.0,30753,"CALLE JUAN PEREZ DELGADO ""NIJOTA""",2.0,3000.0,P0173,375961.980016,3150110.37355,-16.2670459866,28.4716971385
167.0,30293,CALLE FERNANDO PRIMO DE RIVERA,1.0,3000.0,P0174,376168.824211,3149914.96013,-16.2649124929,28.4699533023
168.0,30865,CALLE POETA VIANA,1.0,3000.0,P0175,376089.102763,3149972.59566,-16.2657328693,28.470465857
169.0,30792,CALLE POETA TOMAS MORALES,1.0,3000.0,P0176,376055.698141,3150051.83916,-16.2660825512,28.4711778114
170.0,30751,CALLE POETA HERNANDEZ AMADOR,1.0,3000.0,P0177,376227.847808,3150087.26744,-16.2643282127,28.4715138896
171.0,32597,CALLE EL GRECO,1.0,3000.0,P0178,376189.593724,3149353.27476,-16.264640017,28.4648863607
172.0,21665,CALLE PRINCESA GUAYARMINA,1.0,3000.0,P0179,375667.559154,3149908.36374,-16.27003108,28.4698460624
173.0,30351,CALLE SALAMANCA,1.0,3000.0,P0180,376292.130979,3149657.86427,-16.2636255808,28.4676448543
174.0,22034,CALLE LA OROTAVA,1.0,3000.0,P0181,375159.192212,3150068.29718,-16.2752402263,28.4712407871
175.0,21545,CALLE BENAHOARE,1.0,3000.0,P0182,375583.145497,3149943.72195,-16.2708969935,28.4701570972
176.0,21827,CALLE MENCEY BENCOMO,1.0,3000.0,P0183,375529.82,3150198.18,-16.2714690908,28.4724483491
177.0,22726,CALLE JOSE FONSPERTIUS,1.0,3000.0,P0184,375415.648151,3150405.75121,-16.2726575787,28.4743106552
178.0,22185,CALLE VIA CORNISA,1.0,3000.0,P0185,375167.251529,3150319.43993,-16.2751851364,28.4735079789
179.0,22556,CALLE GUIMAR,1.0,3000.0,P0186,375066.660917,3150322.47656,-16.2762128047,28.4735257452
180.0,22556,CALLE GUIMAR,1.0,3000.0,P0187,375037.465647,3150395.85282,-16.2765189394,28.474185125
181.0,22517,CALLE TACORONTE,1.0,3000.0,P0188,374977.341117,3150201.6244,-16.2771119157,28.4724265602
182.0,22185,CALLE VIA CORNISA,1.0,3000.0,P0189,374981.326198,3150115.95875,-16.2770619181,28.4716538592
183.0,22316,CALLE ARONA,1.0,3000.0,P0190,374812.417229,3150132.68334,-16.2787887832,28.4717885786
184.0,22204,CALLE GRANADILLA,1.0,3000.0,P0191,374820.908884,3149936.96676,-16.2786807899,28.4700231657
